,Pinophyta,Abies,LUCA,cell_ids,Dist.to.road_m,Elevation_m,MaxTemp_m,MeanTemp_m,MinTemp_m,Population_m,Precipitation_m,SolarRadiation_m,VaporPres_m,WindSp_m,Longitude,Latitude,wwf_mhtnum,wwf_mhtnam,covid,name,cov_id,tipos,geometry
3667,0.0,0.0,1.0,244652,1141.72814941,1370.22222222,24.4490740873,18.7060185185,24.4675925926,186.770923615,148.002314815,15962.2824074,1.59953703704,2.0,-96.965563416,19.213389801,1.0,Tropical and Subtropical Moist Broadleaf Forests,85388,AGRICULTURA DE TEMPORAL SEMIPERMANENTE Y PERMANENTE,8684.0,Agricultura de Temporal,POINT (-96.96556341599999 19.213389801)
3668,0.0,0.0,1.0,246370,968.816503906,570.888888889,28.9983332846,22.9527777778,29.0138888889,209.106027476,147.466666667,15871.8388889,2.0,2.0,-96.818563416,18.870389801,1.0,Tropical and Subtropical Moist Broadleaf Forests,83177,AGRICULTURA DE TEMPORAL ANUAL Y SEMIPERMANENTE,8684.0,Agricultura de Temporal,POINT (-96.818563416 18.870389801)
3669,0.0,0.0,1.0,243897,2754.83996582,2432.77777778,22.0557870291,13.8240740741,22.1435185185,44.7119512028,41.0717592593,17572.9791667,1.0,2.00694444444,-97.700563416,19.360389801,13.0,Deserts and Xeric Shrublands,71911,AGRICULTURA DE TEMPORAL ANUAL,8684.0,Agricultura de Temporal,POINT (-97.70056341599999 19.360389801)
3670,0.0,0.0,1.0,252668,1132.2854248,2198.22222222,23.395601798,16.4861111111,23.4305555556,7.66307557954,45.4467592593,16913.1458333,1.0,2.24537037037,-97.406563416,17.792389801,3.0,Tropical and Subtropical Coniferous Forests,47222,PASTIZAL INDUCIDO,11151.0,Agricultura de Temporal,POINT (-97.406563416 17.792389801)
3671,0.0,0.0,1.0,239472,2735.71932129,80.3333333333,29.1050926138,24.1342592593,29.1574074074,65.1077503628,135.444444444,16868.7800926,2.53472222222,2.0,-97.259563416,20.242389801,1.0,Tropical and Subtropical Moist Broadleaf Forests,84604,AGRICULTURA DE TEMPORAL PERMANENTE,8684.0,Agricultura de Temporal,POINT (-97.25956341600001 20.242389801)
3672,0.0,0.0,1.0,250946,4481.53594727,1870.88888889,22.1534722514,17.1689814815,22.2013888889,18.573813947,226.636574074,15884.9606481,1.21527777778,2.00462962963,-96.671563416,18.086389801,1.0,Tropical and Subtropical Moist Broadleaf Forests,6280,BOSQUE MESÓFILO DE MONTAÑA,10596.0,Bosque Mesofilo de Montana,POINT (-96.671563416 18.086389801)
3673,0.0,0.0,1.0,238224,1221.72814941,2.55555555556,28.6966665533,24.2805555556,28.7694444444,122.603681946,120.227777778,17036.225,2.58333333333,3.0,-97.063680061,20.4872720223,14.0,Mangroves,25806,AGRICULTURA DE HUMEDAD ANUAL Y PERMANENTE,8811.0,Vegetacion Acuatica,POINT (-97.063680061 20.4872720223)
3674,1.0,1.0,1.0,245097,2067.86173828,3046.77777778,20.4011574189,12.2430555556,20.4675925926,89.9333496094,103.361111111,17765.0486111,1.0,3.01157407407,-99.219563416,19.115389801,3.0,Tropical and Subtropical Coniferous Forests,90094,VEGETACIÓN SECUNDARIA ARBUSTIVA DE BOSQUE DE PINO,10270.0,Pastizal Cultivado,POINT (-99.219563416 19.115389801)
3675,0.0,0.0,1.0,246600,1296.4307373,2030.77777778,23.7509258765,16.287037037,23.8263888889,194.295163843,42.2175925926,17183.2106481,1.01388888889,2.0,-97.700563416,18.821389801,13.0,Deserts and Xeric Shrublands,71911,AGRICULTURA DE TEMPORAL ANUAL,10495.0,Agricultura de Temporal,POINT (-97.70056341599999 18.821389801)
3676,0.0,0.0,0.0,246595,5350.17924805,1923.0,25.7830555492,17.925,25.8694444444,108.296681722,51.7055555556,17554.5944444,1.25555555556,2.0,-97.945563416,18.821389801,2.0,Tropical and Subtropical Dry Broadleaf Forests,48545,PASTIZAL INDUCIDO,10356.0,Agricultura de Riego,POINT (-97.945563416 18.821389801)
